artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition,split
Vladimir Ashkenazy,6,"Piano Sonata No.1 in F minor, Op.6: 2. (Adagio)",287.0,Alexander Scriabin,188,,"Alexander_Scriabin/Piano_Sonata_No.1_in_F_minor,_Op.6/2._(Adagio)/00581.mid",https://www.youtube.com/watch?v=qgKkiZMjwyA,,00581,Scriabin:The Piano Sonatas,1997-01-01,,test
András Schiff,4,"Rondo in D Major, K.485",376.826,Wolfgang Amadeus Mozart,1557,,"Wolfgang_Amadeus_Mozart/Rondo_in_D_Major,_K.485/10769.mid",https://www.youtube.com/watch?v=zCZ_bcqfi4E,,10769,Mozart: Piano Music,1991-01-01,,test
Vladimir Ashkenazy,6,"12 études, Op. 25: No. 3 in F Major ""The Horseman""",102.0,Frédéric Chopin,1424,,"Frederic_Chopin/12_Études,_Op._25/No._3_in_F_Major/09628.mid",https://www.youtube.com/watch?v=5kuoJ5XRltQ,,09628,Chopin: Piano Concerto No.2 / Ballade / Etudes / Mazurkas / Scherzo,1999-01-01,,test
Alfred Brendel,19,"33 Piano Variations in C, Op.120 on a Waltz by Anton Diabelli: Variation XXV (Allegro)",44.106,Ludwig van Beethoven,1278,,"Ludwig_van_Beethoven/33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli/Variation_XXV._Allegro/08686.mid",https://www.youtube.com/watch?v=_8lBbg7uR0w,high quality,08686,Alfred Brendel - Live,2007-01-01,,test
Daniel Barenboim,9,"Waltz No.7 in C Sharp Minor, Op. 64 No. 2",236.306,Frédéric Chopin,1679,,"Frederic_Chopin/Waltz_No.7_in_C_sharp_minor,_Op.64,_No.2/11706.mid",https://www.youtube.com/watch?v=__z35A--6Tc,,11706,Max & Maestro,2018-07-06,,test
Alexandre Tharaud,43,"24 Préludes, Op. 28: No.20 in C minor - Largo",106.146,Frédéric Chopin,1475,,"Frederic_Chopin/24_Préludes,_Op._28/No._20_in_C_Minor:_Largo/10339.mid",https://www.youtube.com/watch?v=QRVwIamc0Ko,,10339,"Chopin: Préludes, Op.28",2008-02-08,,test
Vladimir Ashkenazy,6,"Piano Sonata No.13 in A, D.664: 3. Allegro",387.666,Franz Schubert,871,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml","Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/03990.mid",https://www.youtube.com/watch?v=QIfNpAXyKIk,,03990,Schubert: Piano Sonatas Nos.13 & 14; Ungarische Melodie; 12 Waltzes,1966-01-01,,test
Samson François,48,"Ravel: Gaspard de la nuit, M. 55: II. Le gibet",311.706,Maurice Ravel,722,"Maurice_Ravel/Gaspard_de_la_nuit,_M.55/Le_gibet/Le_Gibet_-_No.2_from_Gaspard_de_la_Nuit_-_Maurice_Ravel.mxl","Maurice_Ravel/Gaspard_de_la_nuit,_M.55/Le_gibet/03545.mid",https://www.youtube.com/watch?v=1LxwT-TuFYc,,03545,Ravel: Complete Piano & Orchestral Works,2018-08-24,,test
Vladimir Ashkenazy,6,"Humoreske, Op. 20: 4. Innig",139.973,Robert Schumann,272,,"Robert_Schumann/Humoreske,_Op._20/6._Innig/01367.mid",https://www.youtube.com/watch?v=SBNd33LgM8w,,01367,Schumann: Kreisleriana; Humoreske,1974-09-19,,test
Hélène Grimaud,38,"Sonata for Piano No. 2 in F-Sharp Minor, Op. 2: I. Allegro non Troppo, Ma Energico",361.373,Johannes Brahms,1104,,"Johannes_Brahms/Piano_Sonata_No._2_in_F-Sharp_Minor,_Op._2/I._Allegro_non_troppo,_ma_energico/05126.mid",https://www.youtube.com/watch?v=Uu9hC28susY,,05126,Brahms & Schumann: Sonatas,2009-01-01,,test
Vladimir Ashkenazy,6,"English Suite No. 3 in G Minor, BWV 808: 4. Sarabande",182.973,Johann Sebastian Bach,492,,"Johann_Sebastian_Bach/English_Suite_No.3_in_G_minor,_BWV_808/4._Sarabande/02382.mid",https://www.youtube.com/watch?v=0WJygwluh0Y,,02382,Bach: English Suites 1-3,2021-10-15,,test
Lang Lang,39,"Kinderszenen, Op. 15: VII. Träumerei",197.52,Robert Schumann,202,,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/00878.mid",https://www.youtube.com/watch?v=ZHSS-zwdVT4,,00878,Memory,2006-01-01,,test
Claudio Arrau,11,"Piano Sonata No. 2 in F, K.280: 2. Adagio",559.0,Wolfgang Amadeus Mozart,1155,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No._2_in_F_Major,_K._280/II._Adagio/Sonata_No._2_2nd_Movement_K._280.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No._2_in_F_Major,_K._280/II._Adagio/05756.mid",https://www.youtube.com/watch?v=ys7aecaPgEI,,05756,Mozart: Piano Sonatas Nos. 2 & 9; Rondo In D Major,1989-01-01,,test
Alicia de Larrocha,18,"Rondo in D Major, K. 485",381.373,Wolfgang Amadeus Mozart,1557,,"Wolfgang_Amadeus_Mozart/Rondo_in_D_Major,_K.485/10775.mid",https://www.youtube.com/watch?v=qajb4OwI6rg,,10775,Mozart: Piano Sonata No. 11; Rondo in D Major; Fantasia in C Minor / Bach-Busoni: Chaconne,1974-12-01,,test
Sviatoslav Richter,0,"The Well-Tempered Clavier, Book I: No. 8 in E-Flat-Minor, BWV 853: Prelude",265.986,Johann Sebastian Bach,530,,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._8_in_E-Flat-Minor,_BWV_853:_Prelude/02581.mid",https://www.youtube.com/watch?v=RhNbRxLW9yo,,02581,Bach: Well-Tempered Clavier Book I,2005-04-18,,test
Alfred Brendel,19,"Piano Sonata No. 16 in G Major, Op. 31 No. 1: I. Allegro vivace",386.373,Ludwig van Beethoven,1315,"Ludwig_van_Beethoven/Piano_Sonata_No.16_in_G,_Op.31_No.1/1._Allegro_vivace/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No.16_in_G,_Op.31_No.1/1._Allegro_vivace/09241.mid",https://www.youtube.com/watch?v=9NjTBmE7upM,,09241,"Alfred Brendel, the Legendary Mozart & Beethoven Recordings, Vol. 2",2013,,test
Alfred Brendel,19,"Piano Sonata No.8 In A Minor, K.310: 3. Presto - 1982 Recording",198.0,Wolfgang Amadeus Mozart,1152,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05690.mid",https://www.youtube.com/watch?v=GV7V7Zwfb30,,05690,Mozart: Favourite Works for Piano,1996-01-01,,test
Edwin Fischer,31,"Piano Sonata No. 30 in E Major, Op. 109: II. Prestissimo",145.026,Ludwig van Beethoven,1207,"Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/Sonate_No._30_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/06846.mid",https://www.youtube.com/watch?v=Hnn-GYOwwgk,,06846,Edwin Fischer plays Beethoven Piano Sonatas (1948-1954),2011-11-01,,test
Alfred Brendel,19,Pictures at an Exhibition: Samuel Goldenberg and Schmuyle. Andante. Grave-energico - Andantino,136.333,Modest Mussorgsky,706,,Modest_Mussorgsky/Pictures_at_an_Exhibition/VI._Samuel_Goldenberg_and_Schmuyle/03389.mid,https://www.youtube.com/watch?v=2GONWEsVnWg,,03389,Alfred Brendel - Artist's Choice,2010-01-01,,test
Maurizio Pollini,5,"Piano Sonata No. 29 in B-Flat Major, Op. 106 ""Hammerklavier"": I. Allegro",646.0,Ludwig van Beethoven,1232,,"Ludwig_van_Beethoven/Piano_Sonata_No._29_in_B-Flat_Major,_Op._106_""Hammerklavier""/I._Allegro/07676.mid",https://www.youtube.com/watch?v=2OjihHEhgHc,,07676,Beethoven: The Late Piano Sonatas,1997-01-01,,test
Radu Lupu,25,"Kinderszenen, Op. 15: 10. Fast zu ernst",101.266,Robert Schumann,200,,"Robert_Schumann/Kinderszenen,_Op._15/10._Fast_zu_ernst/00796.mid",https://www.youtube.com/watch?v=G_jNma7X3gU,,00796,Schumann: Humoreske; Kinderszenen; Kreisleriana,1995-01-01,,test
Vladimir Ashkenazy,6,"Piano Sonata No. 13 in A, D.664: 1. Allegro moderato",635.56,Franz Schubert,870,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl","Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/03973.mid",https://www.youtube.com/watch?v=DK5ktYWzu2c,,03973,Schubert: Piano Sonatas Nos. 13 & 14; 12 Waltzes,1967-03-14,,test
Leif Ove Andsnes,36,"Ballade in F Major, Op. 38, No.2",418.013,Frédéric Chopin,1668,,"Frederic_Chopin/Ballade_No._2_in_F_Major,_Op._38/11590.mid",https://www.youtube.com/watch?v=KmLUjOlOmts,,11590,Chopin,2018-09-07,,test
Wilhelm Kempff,28,"Piano Sonata No. 18 in E-Flat Major, Op. 31, No. 3 - ""The Hunt"": II. Scherzo (Allegretto vivace)",321.893,Ludwig van Beethoven,1229,"Ludwig_van_Beethoven/Piano_Sonata_No._18_in_E-Flat_Major,_Op._31_No._3_""The_Hunt""/II._Scherzo._Allegretto_vivace/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._18_in_E-Flat_Major,_Op._31_No._3_""The_Hunt""/II._Scherzo._Allegretto_vivace/07634.mid",https://www.youtube.com/watch?v=pbcaDp39ZUk,,07634,Beethoven: Sonatas Nos. 13 - 19,2019-09-13,,test
Wilhelm Kempff,28,"Kinderszenen, Op. 15: No. 10 Fast zu ernst",98.733,Robert Schumann,200,,"Robert_Schumann/Kinderszenen,_Op._15/10._Fast_zu_ernst/00801.mid",https://www.youtube.com/watch?v=_nmbscr7RT4,,00801,Schumann: Kinderszenen; Waldszenen; Papillons; Three Romances,2000-01-01,,test
Daniel Barenboim,9,"Bach, JS: The Well-Tempered Clavier, Book I, Prelude and Fugue No. 12 in F Minor, BWV 857: Fugue",259.746,Johann Sebastian Bach,550,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._12_in_F_Minor,_BWV_857:_Fugue/musicxml_cleaned.musicxml","Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._12_in_F_Minor,_BWV_857:_Fugue/02667.mid",https://www.youtube.com/watch?v=OP8ziicRhRQ,,02667,"Bach, JS : Well-Tempered Clavier Book 1",2005-05-24,,test
Alfred Brendel,19,"Piano Sonata No. 9 in E Major, Op. 14 No. 1: II. Allegretto",213.0,Ludwig van Beethoven,1185,"Ludwig_van_Beethoven/Piano_Sonata_No._9_in_E_Major,_Op._14,_No._1/II._Allegretto/Sonate_No._9_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._9_in_E_Major,_Op._14,_No._1/II._Allegretto/06368.mid",https://www.youtube.com/watch?v=VxYjqgQsaUc,,06368,"Alfred Brendel, the Legendary Mozart & Beethoven Recordings, Vol. 2",2013,,test
Alice Sara Ott,44,"Piano Sonata No.3 In C, Op.2 No.3: 1. Allegro con brio",651.12,Ludwig van Beethoven,1177,"Ludwig_van_Beethoven/Piano_Sonata_No._3_in_C_Major,_Op._2_No._3/I._Allegro_con_brio/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._3_in_C_Major,_Op._2_No._3/I._Allegro_con_brio/06134.mid",https://www.youtube.com/watch?v=2bWsgockQUM,,06134,Beethoven,2011-01-01,,test
Vladimir Ashkenazy,6,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Fugue in C sharp major BWV 872",113.506,Johann Sebastian Bach,622,,"Johann_Sebastian_Bach/Das_Wohltemperierte_Klavier_Book2/Book_2,_BWV_870-893:_Fugue_in_C_sharp_major_BWV_872/02927.mid",https://www.youtube.com/watch?v=Klu8vSdTj3Y,,02927,"Bach, J.S.: Das Wohltemperierte Klavier",2005-01-01,,test
Vladimir Ashkenazy,6,"9 Etudes-Tableaux, Op.33: No.7 in E Flat Major",226.56,Sergei Rachmaninoff,91,,"Sergei_Rachmaninoff/9_Etudes-Tableaux,_Op.33/No.7_in_E_Flat_Major/00291.mid",https://www.youtube.com/watch?v=OyxKHcyTzh8,,00291,"Rachmaninov: études-Tableaux, Op. 33 & Op. 39",1973-01-01,,test
Bertrand Chamayou,40,"études d'exécution transcendante, S.139 : X. Allegro agitato molto, en fa mineur",291.013,Franz Liszt,121,"Franz_Liszt/12_Etudes_d'exécution_transcendante,_S.139/No.10_Allegro_agitato_molto/musicxml_cleaned.musicxml","Franz_Liszt/12_Etudes_d'exécution_transcendante,_S.139/No.10_Allegro_agitato_molto/00432.mid",https://www.youtube.com/watch?v=nlJ8KFn0xaw,,00432,Liszt : 12 Etudes D'Exécution Transcendante,2006-10-02,,test
Claudio Arrau,11,"Piano Sonata No.25 in G, Op.79: 2. Andante",193.0,Ludwig van Beethoven,1217,"Ludwig_van_Beethoven/Piano_Sonata_No.25_in_G,_Op.79/2._Andante/Sonate_No._25_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No.25_in_G,_Op.79/2._Andante/07168.mid",https://www.youtube.com/watch?v=gnoQNoDLWzU,,07168,The Final Sessions,2006-01-01,,test
Sviatoslav Richter,0,"12 Etudes, Op.25: No. 5 in E Minor",212.0,Frédéric Chopin,1430,,"Frederic_Chopin/12_Études,_Op._25/No._5_in_E_Minor/09719.mid",https://www.youtube.com/watch?v=35ewiqUoIYM,,09719,Richter the Master - Bach & Chopin,1993-01-01,,test
Vladimir Horowitz,2,"Kinderszenen, Op. 15: No. 7, Träumerei",205.306,Robert Schumann,202,,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/00852.mid",https://www.youtube.com/watch?v=IBn9vOegO08,,00852,"Vladimir Horowitz in Recital at Paramount Theatre, Oakland, February 15, 1976",1976,,test
Vladimir Horowitz,2,"Kreisleriana, Op.16: 1. Äusserst bewegt",172.16,Robert Schumann,220,"Robert_Schumann/Kreisleriana,_Op._16/I._Äußerst_bewegt/musicxml_cleaned.musicxml","Robert_Schumann/Kreisleriana,_Op._16/I._Äußerst_bewegt/01115.mid",https://www.youtube.com/watch?v=znu6i0vd6qk,,01115,Vladimir Horowitz - The Studio Recordings,1986-01-01,,test
Valentina Lisitsa,42,"Three Etudes, Op. 65: 2. Allegretto",145.573,Alexander Scriabin,150,,"Alexander_Scriabin/3_Etudes,_Op._65/No._2._Allegretto/00514.mid",https://www.youtube.com/watch?v=C_3T8OVv4Pc,,00514,Scriabin - Nuances,2015-10-30,,test
Vladimir Horowitz,2,"Ballade No. 4 in F Minor, Op. 52",613.946,Frédéric Chopin,1658,,"Frederic_Chopin/Ballade_No._4_in_F_Minor,_Op._52,_B._146/11471.mid",https://www.youtube.com/watch?v=YCkzDSSwaWM,,11471,Chopin: Piano Sonata No. 2 / Ballade No. 4 / Polonaise-Fantaisie (Horowitz) (1947-1957),2008-03-25,,test
Sviatoslav Richter,0,"English Suite No. 3 in G Minor, BWV 808: IVa. Sarabande",294.733,Johann Sebastian Bach,492,,"Johann_Sebastian_Bach/English_Suite_No.3_in_G_minor,_BWV_808/4._Sarabande/02379.mid",https://www.youtube.com/watch?v=-WEP8BNp7gI,,02379,Richter Plays Bach,2008-08-25,,test
Zoltán Kocsis,33,"Préludes / Book 1, L.117: 2. Voiles",236.0,Claude Debussy,651,"Claude_Debussy/Préludes,_Book_1,_L._117/No._2,_Voiles/Debussy_-_Voiles.mxl","Claude_Debussy/Préludes,_Book_1,_L._117/No._2,_Voiles/03064.mid",https://www.youtube.com/watch?v=htjOZHbwiAQ,,03064,Debussy: Préludes 1 & 2; Children's Corner,2012-01-01,,test
Martha Argerich,7,"Sonatine, M.40: 1. Modéré",233.066,Maurice Ravel,718,,"Maurice_Ravel/Sonatine,_M._40/I._Modéré/03465.mid",https://www.youtube.com/watch?v=oR4rlMAjSEU,,03465,Early Recordings,2016-05-13,,test
Pierre-Laurent Aimard,16,"Miroirs, M.43: 2. Oiseaux tristes",249.213,Maurice Ravel,717,,"Maurice_Ravel/Miroirs,_M._43/No._2,_Oiseaux_tristes/03461.mid",https://www.youtube.com/watch?v=z3S3ZrbgC4g,,03461,Pierre-Laurent Aimard - Legendary Recordings,2021-10-02,,test
Martha Argerich,7,"Kinderszenen, Op. 15: 12. Kind im Einschlummern - Live",124.693,Robert Schumann,204,,"Robert_Schumann/Kinderszenen,_Op._15/12._Kind_im_Einschlummern/00917.mid",https://www.youtube.com/watch?v=ELt-a9ejhog,high quality,00917,Carte Blanche (Live),2015-06-26,,test
Vladimir Ashkenazy,6,"Ballade No. 1 in G Minor, Op. 23",585.626,Frédéric Chopin,1611,,"Frederic_Chopin/Ballade_No._1_in_G_Minor,_Op._23/10978.mid",https://www.youtube.com/watch?v=GGN3Q0uCD3o,,10978,Essential Chopin,2003-01-01,,test
Friedrich Gulda,24,"24 Préludes, Op. 28: No. 24 in D Minor. Allegro appassionato, B. 107",127.36,Frédéric Chopin,1462,,"Frederic_Chopin/24_Préludes,_Op._28/No._24_in_D_Minor:_Allegro_appassionato/10265.mid",https://www.youtube.com/watch?v=fQYH8dthk9o,,10265,Chopin & Beethoven: Piano Works,2021-02-12,,test
Alfred Cortot,3,"Ravel: Sonatine, M. 40: III. Animé",217.866,Maurice Ravel,720,,"Maurice_Ravel/Sonatine,_M._40/III._Animé/03484.mid",https://www.youtube.com/watch?v=DYiRWT5cPtk,,03484,Icon: Alfred Cortot,2008-09-22,,test
Claudio Arrau,11,"Piano Sonata No.26 in E flat, Op.81a -""Les adieux"": 2. Abwesendheit (Andante espressivo)",234.0,Ludwig van Beethoven,1196,"Ludwig_van_Beethoven/Piano_Sonata_No.26_in_E_flat,_Op.81a_-""Les_adieux""/2._Abwesendheit_(Andante_espressivo)/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No.26_in_E_flat,_Op.81a_-""Les_adieux""/2._Abwesendheit_(Andante_espressivo)/06655.mid",https://www.youtube.com/watch?v=7hCq5_kXzyQ,,06655,"Beethoven: Piano Sonatas Nos. 13, 23 & 26",1986-05-07,,test
Alfred Brendel,19,"Piano Sonata No. 15 in D Major, Op. 28 ""Pastorale"": 2. Andante",408.706,Ludwig van Beethoven,1249,"Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/2._Andante/Sonate_No._15_Pastoral_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/2._Andante/08266.mid",https://www.youtube.com/watch?v=oANZBa6boQI,,08266,Brendel spielt Beethoven (Klavierkonzerte / Klaviersonaten),2010-01-01,,test
Wilhelm Kempff,28,"Piano Sonata No. 30 in E Major, Op. 109: II. Prestissimo",143.0,Ludwig van Beethoven,1207,"Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/Sonate_No._30_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/06843.mid",https://www.youtube.com/watch?v=G82NXKF2arc,,06843,Beethoven: The Piano Sonatas,1995-01-01,,test
Vladimir Ashkenazy,6,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Fugue in E minor BWV 879",188.853,Johann Sebastian Bach,627,,"Johann_Sebastian_Bach/Das_Wohltemperierte_Klavier_Book2/Book_2,_BWV_870-893:_Fugue_in_E_minor_BWV_879/02909.mid",https://www.youtube.com/watch?v=ekO1DBPCB6w,,02909,"Bach, J.S.: Das Wohltemperierte Klavier",2005-01-01,,test
Alfred Brendel,19,Piano Sonata in C minor D958- Allegro,480.706,Franz Schubert,856,,"Franz_Schubert/Piano_Sonata_No.19_in_C_minor,_D.958/1._Allegro/03872.mid",https://www.youtube.com/watch?v=nVHagYt7QUU,,03872,Schubert: Piano Sonatas Nos. 15 & 19; 16 German Dances,2009-01-13,,test
Vladimir Ashkenazy,6,"Davidsbündlertänze, Op. 6: 8. Frisch",67.266,Robert Schumann,322,,"Robert_Schumann/Davidsbündlertänze,_Op._6/8._Frisch/01690.mid",https://www.youtube.com/watch?v=KiOCy_3RPv8,,01690,Schumann: Piano Music,2002-01-01,,test
